file,sha256,model_seed,training_steps,preview_transition_scale
centered_full_action_dqn__preview_scale_1p15__seed_809.pth,7c463188e89cdbc9573b2a3ff6f68ebfcc286a3cfe0a9140ec03aada18d57825,809,38400,1.15
centered_full_action_dqn__preview_scale_1p15__seed_810.pth,44dca1e3faccce454dfd722f3da6ac1b2fd14e82847bd52732390d4ada8d071e,810,38400,1.15
centered_full_action_dqn__preview_scale_1p15__seed_811.pth,0dce9dee0343a026113ee5f152da1027092b5c6e86174285f261b203d61edc58,811,38400,1.15
centered_full_action_dqn__preview_scale_1p15__seed_812.pth,0c1b4305401df279438af5dcb650e15b1d11d49d4ab2e16f2721a93c53b059ed,812,38400,1.15
centered_full_action_dqn__preview_scale_1p15__seed_813.pth,f773500ad8ebca25529432d54314d1c4a19c58492b7f28081bce0c144a6f5e80,813,38400,1.15
centered_full_action_dqn__preview_scale_1p15__seed_814.pth,a4899d6721efdeaa45dbd4368764952de72f437d33b2038e61e5c8f3105568ef,814,38400,1.15
centered_full_action_dqn__preview_scale_1p15__seed_815.pth,e5c7a2d205411de3842ac5111409c8664e370feff15fdb61f45772f1ed3b2fc2,815,38400,1.15
centered_full_action_dqn__preview_scale_1p15__seed_816.pth,b71e62743ee8969b972e66c1783cc9cc9825cfe38d2d8a189bbb13c7b9ee2e71,816,38400,1.15
centered_full_action_dqn__preview_scale_1p15__seed_817.pth,7726316744d4d326b3a839e19663f013b5b8a0393a225f72f0d66c2c35adbd2f,817,38400,1.15
centered_full_action_dqn__preview_scale_1p15__seed_818.pth,6b1876e7a680095b35c96aa13bafc75572294374ee03a62436f8cebfbfdd1cdc,818,38400,1.15
centered_full_action_dqn__preview_scale_1p15__seed_819.pth,1457827fb1a9ac052e05c943cbbe9bb91de5b14cc75b283bb4eeda77350d074f,819,38400,1.15
